ID,NOM,Lat,Lon,Alt (m),Réseau,Humidité relative,Neige,Précipitomètre,Pluviomètre à auget,Température de l'air,Température à 10 cm dans le sol,Température du point de rosée,Direction du vent (10m),Direction du vent (3m),Direction de la pointe de vent (10m),Direction de la pointe de vent (3m),Vitesse du vent (10m),Vitesse du vent (3m),Vitesse de la pointe de vent (10m),Vitesse de la pointe de vent (3m),Rayonnement solaire,Pression atmosphérique,Pression atmosphérique au niveau de la mer
CMOJ,Armagh,46.70573,-70.58296,317,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMXC,Arundel F,45.96415,-74.57995,184,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CGGA,Aéroport de Gaspé,48.77672,-64.4794,40,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CGRQ,Aéroport de Trois-Rivières,46.359328,-72.67593,62,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CYGR,Aéroport des Îles de la Madeleine,47.422347,-61.784358,10,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CYBG,Bagotville,48.3331,-71,159,DEA,OUI,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI
CWFW,Baie-Comeau,49.2592,-68.145,130,DEA,OUI,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,OUI
CYBC,Baie-Comeau A,49.1325,-68.20435,21,DEA,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CGBC,Baie-Comeau RCS,49.135,-68.2024,21,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,OUI,OUI
CMSZ,Baie-Saint-Paul,47.46006,-70.50175,26,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CQBW,Baldwin,48.5619,-66.1055,644,DCF,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
CWBA,Barrage Témiscamingue,46.7097,-79.1011,180,DEA,OUI,OUI,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON,NON
