ID,NOM,Lat,Lon,Alt (m),Réseau,Humidité relative,Neige,Précipitomètre,Pluviomètre à auget,Température de l'air,Température à 10 cm dans le sol,Température du point de rosée,Direction du vent (10m),Direction du vent (3m),Direction de la pointe de vent (10m),Direction de la pointe de vent (3m),Vitesse du vent (10m),Vitesse du vent (3m),Vitesse de la pointe de vent (10m),Vitesse de la pointe de vent (3m),Rayonnement solaire,Pression atmosphérique,Pression atmosphérique au niveau de la mer
SGEA,CETAB Victoriaville A,46.0433611,-71.9731083,105,SM,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMVF,Compton,45.259947,-71.833729,245,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMVH,Deschambault SM,46.676783,-71.924858,22,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMVJ,Dunham,45.096216,-72.813383,217,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMVK,Franklin,45.033903,-73.898857,171,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMVS,Garagona,45.064817,-72.841153,171,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMVT,Hemmingford,45.047058,-73.609814,80,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMVU,Henryville,45.132856,-73.218749,29,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMVV,Lanoraie,46.00927,-73.216,17,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMVZ,Oka,45.516214,-74.086885,93,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWQ,Rougemont,45.449921,-73.067298,79,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWR,Saint-Antoine-de-Tilly,46.674617,-71.531112,71,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMWV,Saint-Bruno-de-Montarville,45.541378,-73.340258,58,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWX,Saint-Grégoire,45.348321,-73.156437,58,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMWY,Saint-Hilaire,45.52399,-73.1674,52,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMWZ,Saint-Joseph-du-Lac,45.540595,-74.026481,90,FADQ,OUI,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
CMXB,Saint-Laurent,46.872021,-70.992406,55,FADQ,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,OUI,NON,NON
CMXD,Saint-Paul-d'Abbotsford,45.44944,-72.88755,111,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,NON,NON
CMWW,Sainte-Cécile-de-Milton,45.4803,-72.74517,136,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
CMWB,Sainte-Famille I.O.,46.971573,-70.956563,100,FADQ,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,OUI,NON,OUI,NON,OUI,NON,NON,NON
